participant,muscle,nmes,trial,session,condition,event_out,left,right,img_emo,img_oasis,Are you finished?,base_mood,Interested,Distressed,Excited,Upset,Strong,Guilty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,muscle_order_n,Notes for Experiment,Notes DAO,Notes ZM,height,weight,age,sex,ethnicity,education,prior_exp,reason,reason_open,worried,excited,TAS_1,TAS_2,TAS_3,TAS_4,TAS_5,TAS_6,TAS_7,TAS_8,TAS_9,TAS_10,TAS_11,TAS_12,TAS_13,TAS_14,TAS_15,TAS_16,TAS_17,TAS_18,TAS_19,TAS_20,BMI,TAS_total,left_ma,right_ma,nmes_int,neg_affect,pos_affect,corrected_AU12_r,corrected_AU15_r,image,fnmes,valence,arousal,discomfort,image_present
1,dao,0,51,2,3,67,0,0,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,0,0,0,16,30,0.02530120481927711,-0.026901893287435454,none,off,69.63698762567671,NA,NA,0
1,dao,0,68,2,3,134,0,0,neg,images\Dog_26.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,0,0,0,16,30,0.0014457831325301212,0.06132530120481926,congruent emotion,off,NA,70.61883700696056,11.330239752513531,1
1,dao,100,50,2,1,65,600,600,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,30,30,30,16,30,0.006385542168674697,0.0532530120481928,none,dao 100,44.18443058778036,53.70081689868523,NA,0
1,dao,100,50,2,1,65,600,600,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,30,30,30,16,30,0.006385542168674697,0.0532530120481928,none,dao 100,NA,NA,NA,0
1,dao,100,59,2,1,65,600,600,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,30,30,30,16,30,0.002891566265060243,0.0508433734939759,none,dao 100,NA,NA,61.70666569992266,0
1,dao,100,64,2,1,65,600,600,0,images\blank.jpg,Yes,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,30,30,30,16,30,0.004216867469879521,0.042891566265060244,none,dao 100,NA,72.20490139211138,79.30442768754834,0
1,dao,100,66,2,1,129,600,600,neu,images\Sidewalk_3.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,30,30,30,16,30,0,-0.09481927710843373,neutral,dao 100,14.804476024748649,62.08430007733951,NA,1
1,dao,50,55,2,2,66,300,300,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,15,15,15,16,30,0,-0.004543889845094676,none,dao 50,51.96369876256767,NA,NA,0
1,dao,50,61,2,2,66,300,300,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,15,15,15,16,30,0,-0.13115318416523233,none,dao 50,54.53161252900232,48.4139356148492,20.468991686001548,0
1,dao,50,62,2,2,66,300,300,0,images\blank.jpg,NA,62.81250000000001,4,2,3,1,3,1,2,1,3,3,1,3,1,2,3,2,4,2,3,2,1-0,NA,NA,"Kept hitting eye, so position is optimised to reduce this",167,60,21,Female,White,Completed Secondary School,No,NA,NA,51,66,3,2,2,2,2,4,4,2,3,2,4,2,3,2,2,1,4,2,4,4,21.513858510523864,54,15,15,15,16,30,0,-0.053080895008605855,none,dao 50,44.8641724671307,50.22658062645012,NA,0
